Duration,Source Port,Destination Port,Protocol,Flags,Packets,Bytes,Label,packet_length,flags_count,syn_count,ack_count,fin_count,is_http,is_internal_ip,direction,bytes_per_packet,short_duration,single_packet
67.33214,443,49196,TLS,"PSH,ACK",4,1401,Benign,1401,2,0,1,0,0,0,inbound,1401,0,0
65.967821,49197,443,TCP,"FIN,SYN,ACK",6,336,Benign,336,3,1,1,1,0,1,outbound,336,0,0
65.967889,443,49197,TCP,"FIN,SYN,RST,ACK",5,306,Benign,306,4,1,1,1,0,0,inbound,306,0,0
65.834521,49197,443,TLS,"PSH,ACK",4,706,Benign,706,2,0,1,0,0,1,outbound,706,0,0
65.752576,443,49197,TLS,"PSH,ACK",4,1401,Benign,1401,2,0,1,0,0,0,inbound,1401,0,0
72.775355,49198,443,TCP,"FIN,SYN,ACK",16,10770,Trickbot,10770,3,1,1,1,0,1,outbound,10770,0,0
74.587006,443,49198,TCP,"FIN,SYN,RST,PSH,ACK",16,1198,Trickbot,1198,5,1,1,1,0,0,inbound,1198,0,0
72.353245,49198,443,TLS,"PSH,ACK",6,2917,Trickbot,2917,2,0,1,0,0,1,outbound,2917,0,0
5.775776,443,49198,TLS,"PSH,ACK",4,1898,Trickbot,1898,2,0,1,0,0,0,inbound,1898,0,0
65.397431,49199,443,TCP,"FIN,SYN,ACK",5,282,Benign,282,3,1,1,1,0,1,outbound,282,0,0
65.395293,443,49199,TCP,"FIN,SYN,RST,ACK",4,246,Benign,246,4,1,1,1,0,0,inbound,246,0,0
0.234824,49199,443,TLS,"PSH,ACK",3,615,Benign,615,2,0,1,0,0,1,outbound,615,0,0
65.213657,443,49199,TLS,"PSH,ACK",4,1401,Benign,1401,2,0,1,0,0,0,inbound,1401,0,0
65.3345,49200,443,TCP,"FIN,SYN,ACK",4,228,Benign,228,3,1,1,1,0,1,outbound,228,0,0
65.334181,443,49200,TCP,"FIN,SYN,RST,ACK",4,246,Benign,246,4,1,1,1,0,0,inbound,246,0,0
0.17904,49200,443,TLS,"PSH,ACK",3,615,Benign,615,2,0,1,0,0,1,outbound,615,0,0
65.173525,443,49200,TLS,"PSH,ACK",4,1401,Benign,1401,2,0,1,0,0,0,inbound,1401,0,0
65.344822,49201,443,TCP,"FIN,SYN,ACK",5,282,Benign,282,3,1,1,1,0,1,outbound,282,0,0
65.342916,443,49201,TCP,"FIN,SYN,RST,ACK",5,306,Benign,306,4,1,1,1,0,0,inbound,306,0,0
65.262321,49201,443,TLS,"PSH,ACK",4,706,Benign,706,2,0,1,0,0,1,outbound,706,0,0
65.177548,443,49201,TLS,"PSH,ACK",4,1401,Benign,1401,2,0,1,0,0,0,inbound,1401,0,0
65.344314,49202,443,TCP,"FIN,SYN,ACK",5,282,Benign,282,3,1,1,1,0,1,outbound,282,0,0
65.345785,443,49202,TCP,"FIN,SYN,RST,ACK",5,306,Benign,306,4,1,1,1,0,0,inbound,306,0,0
65.250792,49202,443,TLS,"PSH,ACK",4,706,Benign,706,2,0,1,0,0,1,outbound,706,0,0
65.167653,443,49202,TLS,"PSH,ACK",4,1401,Benign,1401,2,0,1,0,0,0,inbound,1401,0,0
65.326331,49203,443,TCP,"FIN,SYN,ACK",5,282,Benign,282,3,1,1,1,0,1,outbound,282,0,0
65.32585,443,49203,TCP,"FIN,SYN,RST,ACK",5,306,Benign,306,4,1,1,1,0,0,inbound,306,0,0
65.248622,49203,443,TLS,"PSH,ACK",4,706,Benign,706,2,0,1,0,0,1,outbound,706,0,0
65.168563,443,49203,TLS,"PSH,ACK",4,1401,Benign,1401,2,0,1,0,0,0,inbound,1401,0,0
65.339746,49204,443,TCP,"FIN,SYN,ACK",5,282,Benign,282,3,1,1,1,0,1,outbound,282,0,0
65.339015,443,49204,TCP,"FIN,SYN,RST,ACK",5,306,Benign,306,4,1,1,1,0,0,inbound,306,0,0
65.257684,49204,443,TLS,"PSH,ACK",4,706,Benign,706,2,0,1,0,0,1,outbound,706,0,0
65.174909,443,49204,TLS,"PSH,ACK",4,1401,Benign,1401,2,0,1,0,0,0,inbound,1401,0,0
